STATION,DATE,wind_x,wind_y,ceiling,visibility,temperature,pressure,dew,precipitation_duration,precipitation_depth,pm25,mean_aod,min_aod,max_aod,grid_id,location,tz,wkt,Latitudes,Longitudes
72032999999,2018-02-01,-7.482272667,-6.558283153,22000,16070.65278,19.55555556,,-29.16666667,,,11.1,0.077972973,0.036,0.133,DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))",34.11226562,117.6418724
72032999999,2018-02-03,-9.712980568,2.321286324,21710.95833,16025.95833,20.23611111,,-4.583333333,,,27.3,0.078,0.057,0.103,DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))",34.11226562,117.6418724
72032999999,2018-02-04,28.67176001,-4.008371984,22000,15869.52778,21.13888889,,-23.88888889,,,22.15555556,0.064031746,0.019,0.168,DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))",34.11226562,117.6418724
72032999999,2018-02-05,7.431670254,25.47461846,22000,16025.95833,20.23611111,,6.76056338,,,8.9,0.082714286,0.022,0.184,DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))",34.11226562,117.6418724
72032999999,2018-02-06,-0.965738933,14.0876917,22000,15668.40278,17.54166667,,43.75,,,22.1,0.071452381,0.042,0.13,DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))",34.11226562,117.6418724
72032999999,2018-02-07,32.02166346,17.36717603,22000,15757.75,18.625,,-19.86111111,,,7.9,0.058547619,0.02,0.118,DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))",34.11226562,117.6418724
72032999999,2018-02-08,77.31240915,-32.34236686,22000,16093,20.04166667,,-73.88888889,,,12.6,0.040214286,0.021,0.083,DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))",34.11226562,117.6418724
72032999999,2018-02-09,-0.42425386,-24.27090193,22000,15936.56944,20.83333333,,-55.83333333,,,11.4,0.079761905,0.049,0.116,DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))",34.11226562,117.6418724
72032999999,2018-02-11,-18.84625678,-26.89632842,18401.625,15154.29167,13.91666667,,60.44117647,,,14.1,0.112928571,0.058,0.217,DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))",34.11226562,117.6418724
72032999999,2018-02-13,-2.534274171,12.09303584,13132.19355,16070.65278,11.01388889,,28.33333333,,,9.75,0.109619048,0.03,0.225,DJN0F,Los Angeles (SoCAB),Etc/GMT+8,"POLYGON ((-117.6194144762577 34.09367183102137, -117.6194144762577 34.13085940091023, -117.6643302404637 34.13085940091023, -117.6643302404637 34.09367183102137, -117.6194144762577 34.09367183102137))",34.11226562,117.6418724
